Ward,Votes Cast,RAHM EMANUEL,MIGUEL DEL VALLE,CAROL MOSELEY BRAUN,GERY J. CHICO,PATRICIA VAN PELT WATKINS,WILLIAM WALLS III,RegVoters
1,10498,5703,2263,152,2303,46,31,29994
2,15137,9754,978,1459,2486,338,122,38070
3,9232,5374,417,1973,1045,277,146,23020
4,13671,8136,1154,2433,1319,337,292,28260
5,12244,7643,866,2055,1124,355,201,27368
6,15255,8947,463,3649,1315,558,323,35954
7,12516,7463,470,2669,1248,438,228,30872
8,16056,9475,545,3688,1455,536,357,36095
9,11277,6650,301,2581,1104,419,222,31359
10,10739,3790,840,325,5661,73,50,26117
11,11305,4811,1023,111,5293,35,32,25387
12,4904,1403,836,85,2527,30,23,13680
13,12450,4599,1363,203,6182,53,50,21369
14,6535,1603,861,63,3971,25,12,14117
15,7212,3860,439,1409,1151,241,112,24710
16,6283,3216,379,1266,1146,181,95,21748
17,10194,6140,237,2343,800,490,184,31006
18,15622,8188,673,2790,3193,510,268,34953
19,23898,8994,1477,1263,11815,215,134,32136
20,7706,4320,378,1632,943,273,160,23274
21,15933,9448,426,3698,1409,642,310,39478
22,4751,1292,1188,147,2082,33,9,15649
23,16516,6119,1140,280,8857,72,48,28437
24,9528,5680,312,2112,864,408,152,30422
25,8814,3231,1677,214,3602,54,36,22894
26,7852,3049,2803,213,1703,62,22,24149
27,9816,6226,814,1050,1400,239,87,29204
28,8386,5059,324,1740,792,351,120,28644
29,10840,6547,539,2030,1265,310,149,27470
30,6460,2722,1570,94,2014,40,20,20898
31,6456,2446,1669,72,2232,27,10,20931
32,14008,9410,1541,166,2784,61,46,34981
33,8139,4500,1614,111,1841,44,29,20036
34,14495,8666,347,3316,1296,562,308,37307
35,9025,3985,2797,129,2035,51,28,23845
36,14365,7199,1366,342,5319,77,62,29835
37,8888,5383,522,1648,1001,234,100,28108
38,12426,6670,1381,92,4175,61,47,27918
39,10778,6297,1218,137,3041,46,39,24692
40,10579,6518,1664,195,2090,71,41,24802
41,20290,8583,1306,138,10129,73,61,36785
42,18828,14118,818,356,3413,63,60,42568
43,14914,11197,788,233,2571,75,50,33054
44,13077,9703,1077,134,2090,43,30,32060
45,16062,8223,1516,144,6036,77,66,31559
46,14436,10062,1381,576,2191,143,83,30321
47,17274,11545,2482,170,2945,70,62,33268
48,13378,9143,1602,525,1949,107,52,28771
49,9837,6024,1587,508,1523,100,95,22669
50,11472,7217,1257,343,2498,78,79,25793
