Ward,Votes Cast,RAHM EMANUEL,WILLIE WILSON,ROBERT W. FIORETTI,"JESUS ""CHUY"" GARCIA",WILLIAM WALLS III,RegVoters
1,8370,3305,252,612,4101,100,29232
2,10268,6609,326,849,2400,84,32438
3,10490,5146,1741,929,2187,487,32142
4,11798,5245,1690,931,3349,583,30651
5,11415,5018,1471,528,3843,555,29321
6,10922,4644,2545,511,2507,715,33658
7,10587,4640,2253,437,2564,693,32415
8,13546,5874,2966,562,3256,888,37496
9,11848,5131,2839,510,2599,769,36454
10,9389,3539,478,807,4449,116,25572
11,9526,4661,252,1424,3104,85,25470
12,4911,1261,93,237,3280,40,17930
13,10975,5663,206,1006,4034,66,23932
14,5919,2224,107,445,3106,37,17822
15,4566,1366,586,150,2347,117,18233
16,5996,2376,1593,207,1532,288,26071
17,8655,3463,2299,319,2075,499,30599
18,12198,4742,2036,788,3969,663,31783
19,18024,7549,1134,2485,6476,380,35016
20,6824,2768,1672,227,1773,384,25662
21,13255,5623,3231,529,2944,928,38244
22,5278,1117,275,136,3682,68,18907
23,9502,3807,231,1295,4120,49,22399
24,7144,2601,2180,321,1663,379,26850
25,7629,2533,258,487,4287,64,25194
26,6718,2307,358,345,3621,87,24709
27,8712,4230,1615,687,1893,287,32087
28,7604,3032,2008,586,1659,319,32409
29,10969,4609,2420,716,2719,505,34515
30,5050,1998,147,390,2466,49,21339
31,5800,2349,140,287,2971,53,21429
32,8510,4025,187,704,3530,64,30469
33,8212,3276,269,527,4035,105,22909
34,12454,5652,3105,405,2559,733,38472
35,6200,2081,185,330,3547,57,21846
36,5996,2351,277,607,2709,52,21293
37,8286,3421,2352,369,1737,407,31338
38,11129,5348,309,1683,3694,95,29593
39,11222,5432,349,1172,4171,98,29135
40,9664,4559,293,623,4092,97,27800
41,14834,7090,446,2619,4568,111,34339
42,8682,6370,260,533,1445,74,31309
43,10387,7466,281,655,1910,75,30254
44,9265,5951,211,543,2499,61,29803
45,12897,6192,404,1675,4512,114,31191
46,10379,5967,504,512,3268,128,28676
47,12306,6331,261,713,4914,87,33218
48,11147,5838,447,549,4165,148,29787
49,8808,3867,484,425,3854,178,25105
50,7860,4341,336,541,2538,104,24914
