Ward,Precinct,RAHM EMANUEL,WILLIE WILSON,ROBERT W. FIORETTI,"JESUS ""CHUY"" GARCIA",WILLIAM WALLS III,Votes Cast
1.0,1.0,62.0,5.0,11.0,115.0,2.0,195.0
1.0,2.0,56.0,10.0,12.0,107.0,1.0,186.0
1.0,3.0,95.0,3.0,15.0,94.0,1.0,208.0
1.0,4.0,111.0,4.0,20.0,92.0,2.0,229.0
1.0,5.0,88.0,4.0,10.0,63.0,1.0,166.0
1.0,6.0,87.0,3.0,17.0,106.0,2.0,215.0
1.0,7.0,60.0,2.0,15.0,72.0,5.0,154.0
1.0,8.0,115.0,15.0,8.0,80.0,3.0,221.0
1.0,9.0,87.0,12.0,13.0,85.0,0.0,197.0
1.0,10.0,92.0,5.0,12.0,63.0,3.0,175.0
1.0,11.0,71.0,2.0,16.0,87.0,2.0,178.0
1.0,12.0,71.0,6.0,34.0,105.0,5.0,221.0
1.0,13.0,39.0,2.0,4.0,54.0,1.0,100.0
1.0,14.0,112.0,10.0,15.0,82.0,1.0,220.0
1.0,15.0,49.0,9.0,24.0,109.0,2.0,193.0
1.0,16.0,55.0,3.0,8.0,129.0,0.0,195.0
1.0,17.0,71.0,9.0,10.0,108.0,3.0,201.0
1.0,18.0,79.0,8.0,10.0,127.0,1.0,225.0
1.0,19.0,96.0,0.0,14.0,183.0,3.0,296.0
1.0,20.0,49.0,7.0,11.0,116.0,1.0,184.0
1.0,21.0,89.0,4.0,5.0,69.0,5.0,172.0
1.0,22.0,57.0,2.0,7.0,62.0,1.0,129.0
1.0,23.0,99.0,5.0,22.0,173.0,1.0,300.0
1.0,24.0,62.0,9.0,5.0,92.0,0.0,168.0
1.0,25.0,48.0,9.0,10.0,84.0,3.0,154.0
1.0,26.0,48.0,1.0,9.0,100.0,1.0,159.0
1.0,27.0,72.0,7.0,14.0,71.0,2.0,166.0
1.0,28.0,64.0,16.0,2.0,36.0,14.0,132.0
1.0,29.0,104.0,8.0,16.0,90.0,3.0,221.0
1.0,30.0,77.0,12.0,5.0,153.0,4.0,251.0
1.0,31.0,96.0,10.0,10.0,85.0,3.0,204.0
1.0,32.0,81.0,2.0,28.0,83.0,0.0,194.0
1.0,33.0,100.0,7.0,19.0,105.0,2.0,233.0
1.0,34.0,59.0,3.0,12.0,106.0,0.0,180.0
1.0,35.0,98.0,4.0,20.0,94.0,5.0,221.0
1.0,36.0,92.0,4.0,29.0,65.0,0.0,190.0
1.0,37.0,93.0,1.0,28.0,82.0,1.0,205.0
1.0,38.0,70.0,6.0,22.0,119.0,2.0,219.0
1.0,39.0,70.0,1.0,14.0,92.0,0.0,177.0
1.0,40.0,112.0,12.0,20.0,77.0,5.0,226.0
1.0,41.0,46.0,2.0,4.0,95.0,3.0,150.0
1.0,42.0,10.0,0.0,6.0,39.0,0.0,55.0
1.0,43.0,60.0,7.0,12.0,81.0,5.0,165.0
1.0,44.0,53.0,1.0,14.0,71.0,1.0,140.0
2.0,1.0,89.0,8.0,11.0,74.0,0.0,182.0
2.0,2.0,180.0,7.0,20.0,29.0,1.0,237.0
2.0,3.0,95.0,7.0,15.0,71.0,4.0,192.0
2.0,4.0,68.0,6.0,31.0,97.0,2.0,204.0
2.0,5.0,75.0,6.0,17.0,101.0,1.0,200.0
2.0,6.0,64.0,8.0,30.0,91.0,1.0,194.0
2.0,7.0,104.0,9.0,13.0,67.0,1.0,194.0
2.0,8.0,71.0,7.0,25.0,91.0,1.0,195.0
2.0,9.0,125.0,3.0,11.0,27.0,1.0,167.0
2.0,10.0,197.0,5.0,22.0,25.0,1.0,250.0
2.0,11.0,215.0,2.0,14.0,35.0,2.0,268.0
2.0,12.0,145.0,13.0,20.0,51.0,9.0,238.0
2.0,13.0,230.0,6.0,31.0,60.0,2.0,329.0
2.0,14.0,116.0,13.0,35.0,118.0,6.0,288.0
2.0,15.0,99.0,13.0,19.0,69.0,5.0,205.0
2.0,16.0,81.0,6.0,13.0,59.0,0.0,159.0
2.0,17.0,155.0,9.0,23.0,111.0,3.0,301.0
2.0,18.0,164.0,4.0,18.0,37.0,3.0,226.0
2.0,19.0,204.0,6.0,7.0,30.0,2.0,249.0
2.0,20.0,100.0,4.0,14.0,35.0,0.0,153.0
2.0,21.0,107.0,2.0,17.0,103.0,1.0,230.0
2.0,22.0,189.0,7.0,23.0,56.0,0.0,275.0
2.0,23.0,204.0,2.0,3.0,35.0,0.0,244.0
2.0,24.0,153.0,7.0,14.0,32.0,3.0,209.0
2.0,25.0,104.0,3.0,25.0,63.0,1.0,196.0
2.0,26.0,120.0,17.0,17.0,41.0,2.0,197.0
2.0,27.0,174.0,7.0,16.0,29.0,3.0,229.0
2.0,28.0,166.0,3.0,19.0,57.0,1.0,246.0
2.0,29.0,156.0,5.0,12.0,42.0,1.0,216.0
2.0,30.0,144.0,3.0,16.0,40.0,0.0,203.0
2.0,31.0,255.0,7.0,22.0,47.0,0.0,331.0
2.0,32.0,105.0,5.0,11.0,34.0,4.0,159.0
2.0,33.0,265.0,4.0,36.0,58.0,3.0,366.0
2.0,34.0,188.0,1.0,17.0,32.0,1.0,239.0
2.0,35.0,134.0,7.0,16.0,27.0,2.0,186.0
2.0,36.0,161.0,6.0,22.0,31.0,1.0,221.0
2.0,37.0,166.0,10.0,29.0,65.0,0.0,270.0
2.0,38.0,214.0,4.0,19.0,38.0,1.0,276.0
2.0,39.0,141.0,19.0,15.0,32.0,4.0,211.0
2.0,40.0,126.0,4.0,17.0,34.0,3.0,184.0
2.0,41.0,91.0,5.0,13.0,21.0,1.0,131.0
2.0,42.0,138.0,10.0,14.0,39.0,3.0,204.0
2.0,43.0,201.0,8.0,20.0,38.0,0.0,267.0
2.0,44.0,97.0,2.0,16.0,43.0,0.0,158.0
2.0,45.0,155.0,30.0,22.0,59.0,4.0,270.0
2.0,46.0,78.0,6.0,9.0,26.0,0.0,119.0
3.0,1.0,107.0,79.0,11.0,73.0,29.0,299.0
3.0,2.0,228.0,100.0,14.0,68.0,19.0,429.0
3.0,3.0,152.0,34.0,14.0,46.0,8.0,254.0
3.0,4.0,114.0,49.0,25.0,83.0,20.0,291.0
